217,41159
200,41108
190,41109
150,41110
132,41112
143,41113
134,41114
227,41116
228,41118
245,41119
237,42078
242,42079
247,42093
246,42094
226,42097
144,42099
243,44086
240,44087
171,44088
224,44089
221,44090
209,44091
178,44172
230,45180
204,46108
195,46139
036,46211
128,46212
094,46213
029,46214
076,46215
071,46218
107,46216
111,46217
067,46219
125,46220
028,46221
092,46222
096,46223
045,46224
100,46225
095,46226
091,46227
130,46228
139,46229
172,46230
093,46231
133,46232
191,46232
141,46234
155,46235
156,46236
142,46237
167,46238
157,46239
158,46240
161,46241
043,46242
162,46243
168,46244
169,46245
180,46247
182,46249
184,46250
194,41117
203,46251
201,46254
138,46255
215,46256
216,46257
220,46258
222,46259
231,46260
232,46261
234,46262
235,46263
236,46264
153,46266
106,51201
098,51202
146,51203
165,51204
187,51205
188,51206
198,51207
202,51208
189,51209
225,51210
233,51211
238,51212
239,51213
121,52200
163,52201
196,52202
197,52211
219,52212
109,31201
181,41115
431,41140
211,44092
210,44093
207,44094
192,44095
186,44096
154,44097
160,44098
147,44099
430,44100
164,51200
170,44235
174,46138
166,46246
212,46252
213,46253
241,46265
244,42095
214,42098
185,46114
432,41141
179,46248
433,44056
606,46206
611,46011
614,46014
626,46026
627,46027
628,46028
629,46029
642,46042
650,46050
653,46053
655,44255
663,46063
685,46185
686,46086
